implementation,avg_total_ms,batch_size,seq_len,dtype,device,model_path,state_dict_file,reps,warmup_reps
twell,474.60774689912796,64,2048,bf16,cuda,/workspace/run024-state/SparseLM0.5B-7c2a047,/workspace/run024-state/SparseLM0.5B-7c2a047/model.safetensors,50,5
torch,604.6231697499752,64,2048,bf16,cuda,/workspace/run024-state/SparseLM0.5B-7c2a047,/workspace/run024-state/SparseLM0.5B-7c2a047/model.safetensors,50,5
