implementation,avg_total_ms,batch_size,seq_len,dtype,device,model_path,state_dict_file,reps,warmup_reps
twell,476.95415183901787,64,2048,bf16,cuda,/workspace/run022-state/SparseLM0.5B-7c2a047,/workspace/run022-state/SparseLM0.5B-7c2a047/model.safetensors,50,5
torch,620.0687202811241,64,2048,bf16,cuda,/workspace/run022-state/SparseLM0.5B-7c2a047,/workspace/run022-state/SparseLM0.5B-7c2a047/model.safetensors,50,5
