id,checkpoint_id,checkpoint_sha256,scale,family,trained_dose,clipping_p,kind,precision,source,loss,delta_loss_vs_A0,S_model,S_block,zero_products,model_products,block_products,R_arch_actual,R_arch_A7,inference_sites,delta_loss_from_p0,delta_S_from_p0
70M:A4-OL1:0.01,70M:A4-OL1:0.01,252b1b240f6b03a8502d0282476848d64cc4fd618313f389edd3e67c49d35958,70M,A4-OL1,0.01,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/004-20260901-160446-a489068c,4.822850325756525,0.7230843594793743,0.2622424792437898,0.5305985082905289,9244359867283,35251191545856,17422513864704,0.3706340109790674,0.49423900585148095,"a,m,h,z",,
70M:A4-OL1:0.05,70M:A4-OL1:0.05,13353d8e256c533a6f0429302155800de1ff1254fb9151caada6249e58be7491,70M,A4-OL1,0.05,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/005-20260901-161549-02c4d451,4.874176727949515,0.7744107616723648,0.28489957631865137,0.576440897917037,10043049536142,35251191545856,17422513864704,0.3706340109790674,0.49423900585148095,"a,m,h,z",,
70M:A4-OL1:0.1,70M:A4-OL1:0.1,fa282e72a36c9fd0176c022d9ee8a54a1da0719e5ad43f9cd066bbb2fa81d765,70M,A4-OL1,0.1,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/006-20260901-161058-0c9a31ac,4.943887012597372,0.8441210463202218,0.30574257817401346,0.6186128058575151,10777790186936,35251191545856,17422513864704,0.3706340109790674,0.49423900585148095,"a,m,h,z",,
70M:A4-OL1:0.5,70M:A4-OL1:0.5,400506d278971d470b579e9f27bb48e60c56f10419949e99337cabc96d37dbc6,70M,A4-OL1,0.5,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/007-20260901-155848-8b7ee7e3,5.389480136202637,1.289714169925487,0.3559621916980309,0.720222781859912,12548091402630,35251191545856,17422513864704,0.3706340109790674,0.49423900585148095,"a,m,h,z",,
70M:A7-OL1:0.0,70M:A7-OL1:0.0,e7e8f4659beb38782326268897ec7a4178c51e336048dd8e60287843cc5c991c,70M,A7-OL1,0.0,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/008-20260901-131158-54a0039f,4.941205969223609,0.8414400029464586,0.23562417494680196,0.4767413582440054,8306032923884,35251191545856,17422513864704,0.49423900585148095,0.49423900585148095,"a,m,h,q_post,k_post,v,z",,
70M:A7-OL1:0.01,70M:A7-OL1:0.01,964673fa17cc204efcb9f60529b25e10c9438ea27c5d9b3720e87ffa51b740ed,70M,A7-OL1,0.01,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/009-20260901-155845-6d49e30d,4.936396388965245,0.8366304226880947,0.24226276136279815,0.490173293678885,8540051005228,35251191545856,17422513864704,0.49423900585148095,0.49423900585148095,"a,m,h,q_post,k_post,v,z",,
70M:A7-OL1:0.05,70M:A7-OL1:0.05,93d44301fe633c81d45f74dd74ebac5eff01d95196db60700a614ff8561732be,70M,A7-OL1,0.05,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/010-20260901-161732-c071ca13,4.963655849532969,0.8638898832558182,0.265239409240229,0.5366622344654309,9350005220637,35251191545856,17422513864704,0.49423900585148095,0.49423900585148095,"a,m,h,q_post,k_post,v,z",,
70M:A7-OL1:0.1,70M:A7-OL1:0.1,d4859637b4c72b349154ff4a5795498166226086e853e79c88e9735161054024,70M,A7-OL1,0.1,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/011-20260901-165652-95bb8381,4.950079453062024,0.8503134867848736,0.2869378509087325,0.5805649645446184,10114901144140,35251191545856,17422513864704,0.49423900585148095,0.49423900585148095,"a,m,h,q_post,k_post,v,z",,
70M:A7-OL1:0.5,70M:A7-OL1:0.5,805168851a5a3a7a6a1852a9ed7b6bbab108537438dbaf46d01b344c6389266a,70M,A7-OL1,0.5,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/012-20260901-155715-b6ac963f,5.215924663303872,1.1161586970267212,0.4060187215635989,0.8215027886439374,14312643725042,35251191545856,17422513864704,0.49423900585148095,0.49423900585148095,"a,m,h,q_post,k_post,v,z",,
410M:A4-OL1:0.0,410M:A4-OL1:0.0,6b92821e0979e09385e606bcdb6528ce75a82127a7727c70a997e54b498e6ee6,410M,A4-OL1,0.0,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/003-20260902-141528-830ca0f8,5.6920750987600295,1.144618661093289,0.3833867333385676,0.43943601792234643,107179514812504,279559790395392,243902435033088,0.7477636463214264,0.8724517738696526,"a,m,h,z",,
