model_size,batch_size,n_checkpoints,intercept,slope,R_squared,R_model_min,R_model_max,residual_sum_squares,total_sum_squares,method
70M,1,6,0.2840214585048568,1.4532943956799629,0.6509221618107739,4.5409213981255505e-06,0.4060187215635989,0.13265521126228833,0.38001613608704476,unweighted OLS with intercept on checkpoint medians
410M,1,6,0.09498712247793607,0.20111567874991956,0.2435848027504941,0.00011047923803103942,0.806155139186339,0.05756268078742905,0.0760993182008238,unweighted OLS with intercept on checkpoint medians
70M,32,6,0.3532418836713185,0.30793747364285784,0.058245740570084914,4.5409213981255505e-06,0.4060187215635989,0.17956529564634874,0.1906710735293594,unweighted OLS with intercept on checkpoint medians
410M,32,6,0.16807668350479224,0.31005930232610784,0.24698231217554978,0.00011047923803103942,0.806155139186339,0.13432843451037185,0.1783868250139798,unweighted OLS with intercept on checkpoint medians
