model_size,condition_id,layers,q_exact_zero_mass_median,v_exact_zero_mass_median,dense_composition_median_ms_across_layers,sparse_composition_median_ms_across_layers,composition_speedup_median,composition_speedup_max,break_even_count
70M,a7-ol1-kappa-0,6,0.000133514404296875,0.0,0.7403898350101836,3.704539757776768,0.19986590128810078,0.2001038762992255,0
70M,a7-ol1-kappa-0p5,6,0.7615127563476562,0.9086685180664062,0.7415940415120734,2.227786804485888,0.3336508042315287,0.36117425813558135,0
410M,a7-ol1-kappa-0,24,0.000141143798828125,0.0,1.4594859288384519,7.38048010195295,0.19778343001748094,0.2003342483764114,0
410M,a7-ol1-kappa-0p5,24,0.9925651550292969,0.9988212585449219,1.4472932831323582,2.5671133965383124,0.5636997680985467,0.6036371410826591,0
