condition_id,speedup_70m_b1,speedup_410m_b1,ratio_410m_over_70m_b1,speedup_70m_b32,speedup_410m_b32,ratio_410m_over_70m_b32
a0-gelu,0.18320773261682824,0.048527661874812174,0.26487780390965193,0.27687838718029495,0.15461934478017925,0.5584377544047732
a1h-relu,0.659523300238248,0.32750238311360985,0.4965743939528778,0.6184037366268412,0.4776290824028511,0.7723580148595759
a4-ol1-kappa-0,0.5828651328395776,0.0744843695237148,0.127790058672484,0.2772488461876633,0.1107765909243972,0.3995565444099814
a4-ol1-kappa-0p5,0.9834960454336054,0.2622976195261976,0.26669921119058027,0.7066440553402534,0.49891103681412197,0.7060287750866215
a7-ol1-kappa-0,0.4674572386795931,0.08487438216171253,0.18156608805856478,0.2523472047511879,0.11838858800060076,0.4691495914025712
a7-ol1-kappa-0p5,0.7967820251470462,0.2805116958085585,0.352055752960529,0.4051819793352992,0.43174173786283737,1.065550196904387
