condition,family,dose,mode,latency_ms,qualified,R_model,zero_products,model_products,speedup_over_native
c01,A0,,native,2.330024028196931,True,1.1415112639303073e-08,72635,6363055915008,1.0
c01,A0,,fusion_dense,1.8360880203545094,True,1.1415112639303073e-08,72635,6363055915008,1.2697846605846206
c01,A0,,sparse,2.4217384634539485,False,1.1415112639303073e-08,72635,6363055915008,0.9696652802852134
c01,A0,,no_skip,2.4191184202209115,False,1.1415112639303073e-08,72635,6363055915008,0.970456028864392
c02,A1-H,,native,2.3106695152819157,True,0.027141299328466276,172701605233,6363055915008,1.0
c02,A1-H,,fusion_dense,1.8167480593547225,True,0.027141299328466276,172701605233,6363055915008,1.2717943520257575
c02,A1-H,,sparse,1.5521399909630418,False,0.027141299328466276,172701605233,6363055915008,1.489447505099157
c02,A1-H,,no_skip,2.389433910138905,False,0.027141299328466276,172701605233,6363055915008,0.9732484205664523
c03,A1-H+L1,0.05,native,2.324179047718644,True,0.031415948615272964,199901437662,6363055915008,1.0
c03,A1-H+L1,0.05,fusion_dense,1.8308480503037572,True,0.031415948615272964,199901437662,6363055915008,1.2698337007906169
c03,A1-H+L1,0.05,sparse,1.5587599482387304,False,0.031415948615272964,199901437662,6363055915008,1.4914109124012376
c03,A1-H+L1,0.05,no_skip,2.3988339817151427,False,0.031415948615272964,199901437662,6363055915008,0.9751113366131714
c04,A1-H+L1,0.1,native,2.323320019058883,True,0.03336306479694562,212291046799,6363055915008,1.0
c04,A1-H+L1,0.1,fusion_dense,1.8248725682497025,True,0.03336306479694562,212291046799,6363055915008,1.2723398813145956
c04,A1-H+L1,0.1,sparse,1.5526750357821584,False,0.03336306479694562,212291046799,6363055915008,1.495151532457626
c04,A1-H+L1,0.1,no_skip,2.3970489855855703,False,0.03336306479694562,212291046799,6363055915008,0.9716588188328842
c05,A1-H+L1,0.5,native,2.381733967922628,True,0.03787578105538257,241005712680,6363055915008,1.0
c05,A1-H+L1,0.5,fusion_dense,1.883157528936863,True,0.03787578105538257,241005712680,6363055915008,1.2670537649231723
c05,A1-H+L1,0.5,sparse,1.5899044228717685,False,0.03787578105538257,241005712680,6363055915008,1.4991989563064687
