condition,family,dose,historical,R_model,R_model_percent,zero_products,model_products,eligible_BF16_zero_fraction,eligible_BF16_zero_products,eligible_products,eligible_zero_share_of_model,native_validation_loss,replicates,pairs,native_latency_ms,native_qualified,native_max_abs_logit_difference,native_max_loss_delta,native_max_relative_l2,native_failed_validation_blocks,native_failed_processes,fusion_dense_latency_ms,fusion_dense_qualified,fusion_dense_max_abs_logit_difference,fusion_dense_max_loss_delta,fusion_dense_max_relative_l2,fusion_dense_failed_validation_blocks,fusion_dense_failed_processes,sparse_latency_ms,sparse_qualified,sparse_max_abs_logit_difference,sparse_max_loss_delta,sparse_max_relative_l2,sparse_failed_validation_blocks,sparse_failed_processes,no_skip_latency_ms,no_skip_qualified,no_skip_max_abs_logit_difference,no_skip_max_loss_delta,no_skip_max_relative_l2,no_skip_failed_validation_blocks,no_skip_failed_processes,overall_speedup,overall_ci_low,overall_ci_high,overall_qualified,beyond_qkv_fusion_speedup,beyond_qkv_fusion_ci_low,beyond_qkv_fusion_ci_high,beyond_qkv_fusion_qualified,skip_only_speedup,skip_only_ci_low,skip_only_ci_high,skip_only_qualified,qkv_fusion_speedup,qkv_fusion_ci_low,qkv_fusion_ci_high,qkv_fusion_qualified,mean_total_saved_ms,mean_skip_saved_ms,mean_non_skip_net_saved_ms,skip_share_of_total_latency_saving
c01,A0,,False,1.1415112639303073e-08,1.1415112639303074e-06,72635,6363055915008,6.3954490646572976e-09,2176,340241940480,3.4197404974356006e-10,5.209999415744384,3,1344,2.330024028196931,True,0.0,0.0,0.0,0,0,1.8360880203545094,True,0.0,0.0,0.0,0,0,2.4217384634539485,False,0.375,5.318343628868405e-05,0.0023095477372407913,1,3,2.4191184202209115,False,0.375,5.318343628868405e-05,0.0023095477372407913,1,3,0.9696652802852134,0.9669086630796004,0.9728497035560495,False,0.7636454513781655,0.7607490834887844,0.7668478468003099,False,0.9991851783536201,0.9982001307906304,1.0003118107416644,False,1.2697846605846206,1.2642879706313643,1.2750500084779735,True,-0.07136673524482398,-0.0019688129777066586,-0.06939792226711733,
c02,A1-H,,False,0.027141299328466276,2.7141299328466277,172701605233,6363055915008,0.5075348453408868,172684640640,340241940480,0.02713863322066735,5.2712402795414,3,1344,2.3106695152819157,True,0.0,0.0,0.0,0,0,1.8167480593547225,True,0.0,0.0,0.0,0,0,1.5521399909630418,False,0.4375,7.983866968430675e-06,0.0030381791293621063,3,3,2.389433910138905,False,0.4375,7.983866968430675e-06,0.0030381791293621063,3,3,1.489447505099157,1.4853382074911199,1.4931215428510007,False,1.1711386378833293,1.1669756554527484,1.1760092770205843,False,1.5303877957821552,1.5215441604369107,1.5413756522085675,False,1.2717943520257575,1.2642868721996345,1.2786431867266943,True,0.7658025388082024,0.8288478708155231,-0.06304533200732076,1.0823258331128498
c03,A1-H+L1,0.05,False,0.031415948615272964,3.141594861527296,199901437662,6363055915008,0.5874995320036096,199891980800,340241940480,0.03141446240139612,5.208156718358633,3,1344,2.324179047718644,True,0.0,0.0,0.0,0,0,1.8308480503037572,True,0.0,0.0,0.0,0,0,1.5587599482387304,False,0.375,5.328223778988672e-05,0.0028688719030469656,7,3,2.3988339817151427,False,0.375,5.328223778988672e-05,0.0028688719030469656,7,3,1.4914109124012376,1.4841597185524673,1.4992563395188392,False,1.1744930942316805,1.1717813855186248,1.1776564662421318,False,1.5294775646659138,1.5124806417815317,1.5444421009295264,False,1.2698337007906169,1.26560814029876,1.2749839289145846,True,0.771925265629155,0.8305886545886529,-0.058663388959497964,1.0759962027045256
c04,A1-H+L1,0.1,False,0.03336306479694562,3.336306479694562,212291046799,6363055915008,0.6239396161111384,212290425728,340241940480,0.03336296719117124,5.166843815875195,3,1344,2.323320019058883,True,0.0,0.0,0.0,0,0,1.8248725682497025,True,0.0,0.0,0.0,0,0,1.5526750357821584,False,0.375,2.934475138438586e-05,0.00257988553494215,2,3,2.3970489855855703,False,0.375,2.934475138438586e-05,0.00257988553494215,2,3,1.495151532457626,1.4876795360224013,1.5027995211837974,False,1.1751196000496495,1.1726905553193852,1.1781290076830113,False,1.5387618611371627,1.5218385216568706,1.5504435459321515,False,1.2723398813145956,1.2680969937720603,1.2772995474143993,True,0.7741763616823369,0.8395618391486572,-0.06538547746632029,1.0844581166547547
c05,A1-H+L1,0.5,False,0.03787578105538257,3.7875781055382567,241005712680,6363055915008,0.7082526995115261,240977272832,340241940480,0.03787131152873061,5.113607762141722,3,1344,2.381733967922628,True,0.0,0.0,0.0,0,0,1.883157528936863,True,0.0,0.0,0.0,0,0,1.5899044228717685,False,0.5,2.2195051370133e-06,0.002483343705534935,2,3,2.406924031674862,False,0.5,2.2195051370133e-06,0.002483343705534935,2,3,1.4991989563064687,1.4927573088564523,1.5063510833877864,False,1.1832165278301137,1.179335897513576,1.1870774452118347,False,1.5057604014352735,1.4925886047733052,1.5147969438104147,False,1.2670537649231723,1.264255417810401,1.271214112107212,True,0.7997735478316567,0.8090966782349694,-0.009323130403312785,1.0116572127555226
c06,A1-H+L1,1.0,False,0.03949334258831262,3.9493342588312625,251298347160,6363055915008,0.7385686174652281,251292019584,340241940480,0.03949234816423644,5.104028880446435,3,1344,2.3130744230002165,True,0.0,0.0,0.0,0,0,1.8223525257781148,True,0.0,0.0,0.0,0,0,1.545539009384811,False,0.5,3.0143279225569586e-05,0.0023540817201137543,2,3,2.391663962043822,False,0.5,3.0143279225569586e-05,0.0023540817201137543,2,3,1.4973090838244798,1.4908516148782804,1.505858024141871,False,1.1792845408608206,1.175659523575359,1.1846473537081208,False,1.5346873201772164,1.5235344149986152,1.5462450921136275,False,1.2696758347493615,1.2658381327342092,1.2740393125684222,True,0.7770297892247549,0.8334932205062138,-0.05646343128145892,1.072665722813269
c07,A1-H+OL1,0.05,False,0.0314522677294041,3.14522677294041,200132538216,6363055915008,0.5881337355814977,200107763456,340241940480,0.03144837419769058,5.199086582527007,3,1344,2.328599337488413,True,0.0,0.0,0.0,0,0,1.837917952798307,True,0.0,0.0,0.0,0,0,1.5690299915149808,False,0.375,4.9446622393034545e-05,0.0024216289166361094,4,3,2.399209071882069,False,0.375,4.9446622393034545e-05,0.0024216289166361094,4,3,1.4855487722277518,1.4783727919601284,1.4918591026267178,False,1.1704450536458288,1.1675221411671712,1.1735373468484476,False,1.5236538348561677,1.5101258212328637,1.5328080302862426,False,1.2692170107433953,1.2656740399104809,1.273782745939506,True,0.7662429636097624,0.8253052867422368,-0.05906232313247439,1.077080411745946
c08,A1-H+OL1,0.1,False,0.03338578566957837,3.3385785669578376,212435620982,6363055915008,0.6242569127731775,212398383360,340241940480,0.033379933509468926,5.160890057213183,3,1344,2.3305690847337246,True,0.0,0.0,0.0,0,0,1.837387913838029,True,0.0,0.0,0.0,0,0,1.562370453029871,True,0.375,6.394927122244098e-05,0.0025913177523761988,0,0,2.396504976786673,True,0.375,6.394927122244098e-05,0.0025913177523761988,0,0,1.4899638823287844,1.4855192625906164,1.4939152463037277,True,1.174602288989635,1.1689542285256733,1.1804421018260338,True,1.531042539619872,1.5185177689228757,1.5508042514044937,True,1.2684837210818107,1.2647816748277145,1.271964508830468,True,0.7677620047789311,0.8312676871442125,-0.06350568236528142,1.0827153231991042
c09,A1-H+OL1,0.5,False,0.03767997558790878,3.767997558790878,239759791542,6363055915008,0.7046508435431788,239751770368,340241940480,0.03767871500272658,5.111393471253868,3,1344,2.3191695800051093,True,0.0,0.0,0.0,0,0,1.826892956160009,True,0.0,0.0,0.0,0,0,1.5520299784839153,False,0.5,3.1204689632247096e-05,0.0024702996015548706,5,3,2.3958890233188868,False,0.5,3.1204689632247096e-05,0.0024702996015548706,5,3,1.4951580425714333,1.490751968662681,1.4983798934754198,False,1.1784525489956565,1.1757642825484564,1.1812051930054774,False,1.5383792109930143,1.5108816504033429,1.5594261974494414,False,1.2687469205660347,1.2648383364068112,1.2717791130473766,True,0.7725652853661726,0.838790435019681,-0.06622514965350834,1.0857211046211062
c10,A1-H+OL1,1.0,False,0.03938363148105149,3.9383631481051498,250600249250,6363055915008,0.7364936516364886,250586029184,340241940480,0.039381396695409195,5.122781395368059,3,1344,2.3286790819838643,True,0.0,0.0,0.0,0,0,1.8378974637016654,True,0.0,0.0,0.0,0,0,1.5636638272553682,False,0.8125,9.169520261043118e-05,0.0026487810537219048,17,3,2.4017239920794964,False,0.8125,9.169520261043118e-05,0.0026487810537219048,17,3,1.4951021021715258,1.4892807588023222,1.5005816321606618,False,1.175610442864964,1.17034104408165,1.1808168882935808,False,1.5255204174084114,1.4998194877306723,1.5481561868062597,False,1.271766605379891,1.2678459890295597,1.2760767691539914,True,0.7832042941854092,0.8277013351159569,-0.04449704093054774,1.0568140921352174
