condition_id,model_size,family,kappa,implementation,canonical_validation_loss,measured_R_model_fraction,measured_R_model_percent,rtx_process_median_speedup,rtx_process_min_speedup,rtx_process_max_speedup,h100_process_median_speedup,h100_process_min_speedup,h100_process_max_speedup,h100_minus_rtx_speedup,h100_over_rtx_speedup_ratio,both_qualified,interpretation
14m/a0,14M,A0,,k013,5.2085730123096665,1.1415112639303073e-08,1.1415112639303072e-06,0.9209159914001561,0.8295956944044676,0.9826736427156756,0.788768773990107,0.7864122001407627,0.7911253478394514,-0.1321472174100491,0.8565045903816556,True,same frozen policy/checkpoint/workload; independent hardware processes
14m/a1h,14M,A1-H,,k013,5.26963426093378,0.027141299328466276,2.7141299328466277,0.9916211768383995,0.9838318055471791,0.9938822244485889,0.9914232552136484,0.9910701509688863,0.9917763594584105,-0.000197921624751074,0.9998004060125237,True,same frozen policy/checkpoint/workload; independent hardware processes
14m/a4-0,14M,A4-OL1,0.0,k013,5.458276166718387,0.0781004229286857,7.81004229286857,1.0538109851714101,1.052279801984384,1.0545956655677233,1.0696093731055152,1.068102587365454,1.0711161588455764,0.01579838793410504,1.0149916713304477,True,same frozen policy/checkpoint/workload; independent hardware processes
14m/a4-0p5,14M,A4-OL1,0.5,k013,6.037982463131289,0.12713448684742273,12.713448684742273,1.0489193189658996,1.047297801637977,1.063884648059652,1.068819449359422,1.0677904966057439,1.0698484021131005,0.019900130393522453,1.018972031531597,True,same frozen policy/checkpoint/workload; independent hardware processes
14m/a7-0,14M,A7-OL1,0.0,k013,5.480180751642532,0.0705422917861371,7.054229178613711,1.0489000410378997,1.047197758174502,1.0575137229200324,1.072539187231941,1.0679125433221697,1.077165831141712,0.023639146194041283,1.0225370819612611,True,same frozen policy/checkpoint/workload; independent hardware processes
14m/a7-0p5,14M,A7-OL1,0.5,k013,5.829406580981418,0.27482684296304843,27.482684296304843,1.0521014192324722,1.050651115735875,1.0522418037851042,1.0625525196527623,1.059602376083149,1.0655026632223754,0.010451100420290071,1.009933548448128,True,same frozen policy/checkpoint/workload; independent hardware processes
70m/a0,70M,A0,,k016,4.09976596627715,4.5409213981255505e-06,0.00045409213981255505,1.0043137879344841,0.9991418630365257,1.0091751529277246,0.9966965260810504,0.9942855288278017,0.9991075233342991,-0.007617261853433699,0.9924154562598412,True,same frozen policy/checkpoint/workload; independent hardware processes
70m/a1h,70M,A1-H,,k016,4.222749641308417,0.1006575817198192,10.06575817198192,0.9641336837663815,0.9456913323841296,0.9786033547130241,0.937766212353228,0.9371556469400688,0.9383767777663871,-0.026367471413153543,0.9726516437947181,True,same frozen policy/checkpoint/workload; independent hardware processes
70m/a4-0,70M,A4-OL1,0.0,k016,4.805361172503973,0.25672509475572236,25.672509475572237,0.7515152199208678,0.7512085128427397,0.9033708086379637,0.8539456218079589,0.8480250880932935,0.8598661555226244,0.10243040188709107,1.1362985062336817,True,same frozen policy/checkpoint/workload; independent hardware processes
70m/a4-0p5,70M,A4-OL1,0.5,k016,5.389480136202637,0.3559621916980309,35.59621916980309,1.033089389373658,1.0164525445860844,1.0375315921354387,1.0451614041367363,1.0433912699452685,1.0469315383282038,0.012072014763078398,1.0116853535495098,True,same frozen policy/checkpoint/workload; independent hardware processes
70m/a7-0,70M,A7-OL1,0.0,k016,4.941205969223609,0.23562417494680196,23.562417494680197,0.9956584456437066,0.9439008633950724,0.9971762307980928,0.9923944337075119,0.9922771899360356,0.992511677478988,-0.003264011936194744,0.9967217553866231,True,same frozen policy/checkpoint/workload; independent hardware processes
70m/a7-0p5,70M,A7-OL1,0.5,k016,5.215924663303872,0.4060187215635989,40.60187215635989,1.0081577445776588,1.0031837883547408,1.014986183714184,1.0105161006314158,1.010160724581011,1.0108714766818208,0.0023583560537570047,1.0023392728632412,True,same frozen policy/checkpoint/workload; independent hardware processes
410m/a0,410M,A0,,k010,4.547456437666741,0.00011047923803103942,0.011047923803103942,0.9456212275193597,0.9451827807221286,0.9471373576232831,0.8718459669730236,0.8706212317511125,0.8730707021949349,-0.0737752605463361,0.9219822288255202,True,same frozen policy/checkpoint/workload; independent hardware processes
410m/a1h,410M,A1-H,,k010,4.651294058243904,0.21049725280441106,21.049725280441105,0.9447597076011626,0.942907049678934,0.9449621605516,0.8817041610498608,0.8792285561705794,0.8841797659291422,-0.06305554655130174,0.933257582807584,True,same frozen policy/checkpoint/workload; independent hardware processes
410m/a4-0,410M,A4-OL1,0.0,k010,5.6920750987600295,0.3833867333385676,38.33867333385676,0.9477771142567508,0.9440822623809382,0.9481912620056521,0.9281149733485263,0.9278422509306923,0.9283876957663605,-0.01966214090822449,0.979254467519356,True,same frozen policy/checkpoint/workload; independent hardware processes
410m/a4-0p5,410M,A4-OL1,0.5,k010,5.1909658185829075,0.715914446480748,71.5914446480748,1.0192068242996246,1.0189156359521907,1.0210138484652451,0.9248347817353226,0.9237749294764969,0.9258946339941485,-0.09437204256430198,0.9074063866976634,True,same frozen policy/checkpoint/workload; independent hardware processes
410m/a7-0,410M,A7-OL1,0.0,k010,5.4262960662503215,0.4112146787868456,41.121467878684555,0.9487971321353833,0.9479213462290356,0.9492866416341667,0.92866386433307,0.9279994534045753,0.9293282752615647,-0.02013326780231328,0.9787802185310142,True,same frozen policy/checkpoint/workload; independent hardware processes
410m/a7-0p5,410M,A7-OL1,0.5,k010,5.120691668705122,0.806155139186339,80.6155139186339,1.017471161419635,1.0149701267968338,1.017869801545439,0.9326224845189754,0.9325674982540095,0.9326774707839413,-0.08484867690065956,0.9166082734155593,True,same frozen policy/checkpoint/workload; independent hardware processes
