condition_id,model_size,family,kappa,baseline_implementation,optimized_implementation,R_model_fraction,R_model_percent,baseline_median_speedup,optimized_median_speedup,median_optimized_over_baseline,min_optimized_over_baseline,max_optimized_over_baseline,qualified_repeats,optimized_faster_repeats,optimized_median_faster
14m/a4-0p5,14M,A4-OL1,0.5,p0,k013,0.12713448684742273,12.713448684742273,1.1142911940244729,1.03890317409874,0.9370139947466328,0.9323444173928587,0.9432978437925097,3,0,False
14m/a7-0p5,14M,A7-OL1,0.5,p0,k013,0.27482684296304843,27.482684296304843,1.1129432871282043,1.0480986483278665,0.9476616476090824,0.9372621737009257,0.9646492241284333,3,0,False
