model_size,condition_id,family,kappa,partition,implementation,quality_scope,correctness_pass,failed_validation_blocks,max_abs_logit_error,max_relative_l2,canonical_validation_loss,run025_native_validation_loss,run025_candidate_validation_loss,run025_validation_loss_delta,R_model_fraction,R_model_percent,block_zero_product_count,model_product_count,candidate_median_host_ms,native_median_host_ms,paired_geomean_speedup,speedup_input_cluster_ci95_low,speedup_input_cluster_ci95_high,paired_timing_samples,timing_input_clusters,timing_passes,timing_data,attention_qk_pv_execution,selected_linear_sites,source,manifest_sha256,timing_sha256,timing_samples_sha256,quality_sha256
14M,14m/a7-0p1,A7-OL1,0.1,untuned,k013,complete-validation,False,2,0.5625,0.0003281436220277101,5.429487593075227,5.431519913560995,5.431504619088712,-1.5294472282434413e-05,0.11796760377518327,11.796760377518327,750634458981,6363055915008,3.810563124716282,3.976683132350445,1.0533855943955694,1.0332500245850196,1.075027231961018,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0p1-heldout-rtxpro4500-002,5c026b4fd3793a1d6bd0bdb9062b52173a801f4b70d4f574bfa3499409a07abd,8c78ae56b9da7926a5cf4d9ecda821cdfb570dc2892846bfe0bc7bebbc3f8988,181e507ea0c80ada9dc5d06f8c3b59047adce678a6d70fdfbb6e7c7fb87f01e2,9d5aaefe5eba8d091eba9d9e49ff40627e9dd19cd81697cdd3358c5a5178463c
14M,14m/a7-0p5,A7-OL1,0.5,development,k013,complete-validation,True,0,0.0,0.0,5.829406580981418,5.831297464664293,5.831297460429942,-4.2343506478914605e-09,0.27482684296304843,27.482684296304843,1748738568719,6363055915008,3.7908325903117657,3.9618979208171368,1.0436289876369393,1.039071932599545,1.0480544272089987,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k013final-14m-a7-0p5-development-rtxpro4500-002,dfb2beebeaa807db68e9a2ca8bd2df6a6925ffbfbecd561eb1ab9d1e9b3202ab,b08208d3c53d8c95b05fe574ff87c242a328a076b7bb1e1ec81a3e04da474bdf,c4f7c16f82aa913132ceafe8683168cc4aae9fc5bee9b1a62e189a693b0b640d,400b31c4b7a2b130f1086803f5ec3e9bacb2da41411b3488a1df6ec07c81e183
70M,70m/a0,A0,,development,k016,complete-validation,True,0,0.0,0.0,4.09976596627715,4.107689843018305,4.107689843018305,0.0,4.5409213981255505e-06,0.00045409213981255505,160072890,35251191545856,6.093747913837433,6.09508715569973,1.0051502835093293,0.9859430477398347,1.0287472719556805,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a0-development-rtxpro4500-002,e05c9e8cfbcad742f8c6e5674e3598164999a377a4a2b84d99871284d352986d,3abb2cd3ba5123b0c0b21fcf82ff67449cb674c4c0c19ccb8fd3ca419f49bf6f,5d545b17472d485dd5557c8eda8de1ad45f3267e60eb907619edb58788ddf10f,41fc830050c8e53498cac9f508bc1d5bdc1a37c2558fa26aa98b1ebd324bc442
70M,70m/a1h,A1-H,,development,k016,complete-validation,True,0,0.0,0.0,4.222749641308417,4.2312623229465816,4.231266270419391,3.947472809073815e-06,0.1006575817198192,10.06575817198192,3548299693748,35251191545856,4.419543780386448,4.251793492585421,0.9596025775109119,0.948368952360203,0.97325617824644,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,h,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a1h-development-rtxpro4500-002,dfcb3bfc1dd07fcae366b0046c3012bb6081cddbb42311988de01e1367bd011c,c1d75327a113899a618a2d364a89e880a2b5bad5f10114912f462baadad8f734,cfa49684fcaf911b9cd3afb2249d10520570d056e0e03ee0226356569ed565ff,7c296324e3e573453d87e0a9194ba7fd177ff54ba70aae2cd79b03727e9f58a0
70M,70m/a4-0,A4-OL1,0.0,development,k016,complete-validation,True,0,0.0,0.0,4.805361172503973,4.814718091569863,4.81461943580154,-9.86557683226863e-05,0.25672509475572236,25.672509475572237,9049865489862,35251191545856,4.980349913239479,3.818437922745943,0.7661377016159152,0.7636622910444322,0.7686182940846379,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0-development-rtxpro4500-002,5d959377adf2ebb4bac1153943ac55f3c99e5a088ff6ff84efce922b3b8b1d4e,048a09eec72c2651c35d60bd6178a8f8a6097a93b9ecaf56030677dee3b78b9c,c51a7f5ae97562a651904d2f7d09713c3f38d2e518877105e8f7c34d2d54dcc2,b12c317b67e6161e5aad3a73f2818fb7303dcd72a98d66a70b06e44f7246532b
70M,70m/a4-0p01,A4-OL1,0.01,untuned,k016,complete-validation,False,1,0.625,0.0006086452631279826,4.822850325756525,4.833090198131222,4.833095436375063,5.238243841354517e-06,0.2622424792437898,26.22424792437898,9244359867283,35251191545856,7.923861034214497,8.158006705343723,0.9698701685760078,0.9484995173007826,0.9877184507993767,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p01-retrospective-rtxpro4500-002,2f0d41fa2c8777ffc61ae100047b750087cfe2f9a45a2450ef1542baddeb622b,e81198e552e5a4bbe89fe14c46e9aac19e637fb137d54bd809ad40f50c9f3328,db6b383e070d90cdc6bc533fdb043e2596a06a15a5f14224047853e2c466b874,275c9a75f1609324a83bbc68cec8ae73fbf2582d26d39209230ce77d12860b31
70M,70m/a4-0p05,A4-OL1,0.05,untuned,k016,complete-validation,False,2,1.0,0.00039765224209986627,4.874176727949515,4.885247307368352,4.885204330127069,-4.2977241283104206e-05,0.28489957631865137,28.48995763186514,10043049536142,35251191545856,5.697626620531082,5.630301311612129,0.9423220526706667,0.9340250416015979,0.9502891743067082,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p05-retrospective-rtxpro4500-002,8540c36a1a074355543cea53b46a108aafd2806322b7573974403a418a6bf711,1f6348e7ca18a44271f7b1c4c42cafa42aa482c6c0f31f839ff038e47c6fd178,2b771f8d248de9db4f9838858f8655680450e493b0a1f59d3904e7e7268eda9c,b9c5b19c9b6cece449c9a7fb632397af91d296c8ebff868efd3ce3537d298a51
70M,70m/a4-0p1,A4-OL1,0.1,untuned,k016,complete-validation,False,1,1.5,0.00043764064321294427,4.943887012597372,4.953654694957537,4.953651418982069,-3.275975467786907e-06,0.30574257817401346,30.574257817401346,10777790186936,35251191545856,4.271413665264845,3.7327827885746956,0.9067308674953163,0.8993788661840486,0.914001780344347,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p1-retrospective-rtxpro4500-002,4c11e428f815f5a803d146b51f7084ac70f970f6f9ff8a6d99cf8d7483b1872a,f28aa7282441dcb68e5e4f539991f7e21cdb7afb2fa5e7895d8fed76d9849caa,d2934a1ef7a059f843ce11b6fe5c329280dce1595795958ff68b66d6c62c552d,466cec4c271c73f99415c1eff3cb7ffe9ff7deb1c504fd4c54f5aad2f9b3196e
70M,70m/a4-0p5,A4-OL1,0.5,development,k016,complete-validation,True,0,0.0,0.0,5.389480136202637,5.398816271078256,5.398816892821984,6.217437285016558e-07,0.3559621916980309,35.59621916980309,12548091402630,35251191545856,5.344116594642401,5.61183225363493,1.051361503493851,1.043265778326178,1.062298992152199,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p5-development-rtxpro4500-002,c8661434c96cdd8f5c489a7c9547569ed233510af9b3609c3bbbc3b4e77021c2,b6fd2d111848b6ee92444ab1f7bf4ffa2e6127a4c19926150240a0dbbf7de682,5b7a2187690ccaa8c31f1dccbcd3dc3f1f7478867176eef8a6c3d9915cfca387,0cea10eef5796b89cd5b88216f87f507ad2283f0010d16995dcc9cc8acc7300e
70M,70m/a7-0,A7-OL1,0.0,development,k016,complete-validation,True,0,0.0,0.0,4.941205969223609,4.9502589823041205,4.950320347563241,6.136525912037172e-05,0.23562417494680196,23.562417494680197,8306032923884,35251191545856,5.644021090120077,5.6119621731340885,0.9993082172279794,0.9878353774164248,1.0169264535310756,80,16,5,first 16 fixed seed-2500 training-cache blocks,dense SDPA except selected attention projection linears,a;h;m;z,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0-development-rtxpro4500-002,217c11b08d1f77348fc6a9376dcbba9d0cac11b45fbf90cdb236fcd10ba85682,01d1dae34599ed6e9b8dae9fb7bf8f4fd7b620bb0b21f37dcca9121bf70c7fe8,efb500b092a6ae006bee86b009b9b2d6d57d1b6f48dbb831395d3f91034f2451,436fb208562bba0252260569364f727a6f776e9cfce3d9f4d15111c9f94965bc
