condition_id,model_size,family,kappa,baseline_implementation,optimized_implementation,R_model_fraction,R_model_percent,baseline_median_speedup,optimized_median_speedup,median_optimized_over_baseline,min_optimized_over_baseline,max_optimized_over_baseline,qualified_repeats,optimized_faster_repeats,optimized_median_faster
14m/a4-0p5,14M,A4-OL1,0.5,p0,k001,0.12713448684742273,12.713448684742273,1.1111847154136212,1.1321618120960972,1.0202401460627901,0.9931744535911953,1.028719621638852,3,2,True
14m/a7-0p5,14M,A7-OL1,0.5,p0,k001,0.27482684296304843,27.482684296304843,1.1036073887772015,1.118352447171305,1.0101798103640205,1.0093059246329454,1.021848135664361,3,3,True
70m/a4-0p5,70M,A4-OL1,0.5,k009,k016,0.3559621916980309,35.59621916980309,1.0337421390862276,1.0474028296746623,1.013214795133059,1.0093047225909977,1.0188218233319193,3,3,True
70m/a7-0p5,70M,A7-OL1,0.5,k009,k016,0.4060187215635989,40.60187215635989,1.0017517838673444,1.0093117360540589,1.0075467319434448,0.9897310936677859,1.0869356912540533,3,2,True
410m/a4-0p5,410M,A4-OL1,0.5,k004,k010,0.715914446480748,71.5914446480748,1.0120852898855257,1.0191774053882792,1.006326963623575,1.0036715250923938,1.0091660452739313,3,3,True
410m/a7-0p5,410M,A7-OL1,0.5,k004,k010,0.806155139186339,80.6155139186339,1.0110063669747373,1.0176218551293614,1.006543468340778,1.0056507432594102,1.0113229619853792,3,3,True
