condition_id,model_size,family,kappa,repeat,baseline_implementation,optimized_implementation,R_model_fraction,R_model_percent,baseline_speedup,optimized_speedup,optimized_over_baseline,baseline_validation_pass,optimized_validation_pass,qualified_pair
14m/a4-0p5,14M,A4-OL1,0.5,1,p0,k001,0.12713448684742273,12.713448684742273,1.1111847154136212,1.143097520011176,1.028719621638852,True,True,True
14m/a4-0p5,14M,A4-OL1,0.5,2,p0,k001,0.12713448684742273,12.713448684742273,1.1097012957833743,1.1321618120960972,1.0202401460627901,True,True,True
14m/a4-0p5,14M,A4-OL1,0.5,3,p0,k001,0.12713448684742273,12.713448684742273,1.126783072436917,1.1190921622833432,0.9931744535911953,True,True,True
14m/a7-0p5,14M,A7-OL1,0.5,1,p0,k001,0.27482684296304843,27.482684296304843,1.1080411002026136,1.118352447171305,1.0093059246329454,True,True,True
14m/a7-0p5,14M,A7-OL1,0.5,2,p0,k001,0.27482684296304843,27.482684296304843,1.0959077982130943,1.119851340464085,1.021848135664361,True,True,True
14m/a7-0p5,14M,A7-OL1,0.5,3,p0,k001,0.27482684296304843,27.482684296304843,1.1036073887772015,1.1148419027112852,1.0101798103640205,True,True,True
70m/a4-0p5,70M,A4-OL1,0.5,1,k009,k016,0.3559621916980309,35.59621916980309,1.0226755813735633,1.0419242004920444,1.0188218233319193,True,True,True
70m/a4-0p5,70M,A4-OL1,0.5,2,k009,k016,0.3559621916980309,35.59621916980309,1.039745545589209,1.0494200894561423,1.0093047225909977,True,True,True
70m/a4-0p5,70M,A4-OL1,0.5,3,k009,k016,0.3559621916980309,35.59621916980309,1.0337421390862276,1.0474028296746623,1.013214795133059,True,True,True
70m/a7-0p5,70M,A7-OL1,0.5,1,k009,k016,0.4060187215635989,40.60187215635989,0.9309291128614526,1.0118600787965857,1.0869356912540533,True,True,True
70m/a7-0p5,70M,A7-OL1,0.5,2,k009,k016,0.4060187215635989,40.60187215635989,1.0089729014356976,0.9986118532191122,0.9897310936677859,True,True,True
70m/a7-0p5,70M,A7-OL1,0.5,3,k009,k016,0.4060187215635989,40.60187215635989,1.0017517838673444,1.0093117360540589,1.0075467319434448,True,True,True
410m/a4-0p5,410M,A4-OL1,0.5,1,k004,k010,0.715914446480748,71.5914446480748,1.0120852898855257,1.0184887166985868,1.006326963623575,True,True,True
410m/a4-0p5,410M,A4-OL1,0.5,2,k004,k010,0.715914446480748,71.5914446480748,1.0154491583234444,1.0191774053882792,1.0036715250923938,True,True,True
410m/a4-0p5,410M,A4-OL1,0.5,3,k004,k010,0.715914446480748,71.5914446480748,1.011566754427843,1.0208388210965325,1.0091660452739313,True,True,True
410m/a7-0p5,410M,A7-OL1,0.5,1,k004,k010,0.806155139186339,80.6155139186339,1.007679341880098,1.0190892567616583,1.0113229619853792,True,True,True
410m/a7-0p5,410M,A7-OL1,0.5,2,k004,k010,0.806155139186339,80.6155139186339,1.0113634775216285,1.0170784328750475,1.0056507432594102,True,True,True
410m/a7-0p5,410M,A7-OL1,0.5,3,k004,k010,0.806155139186339,80.6155139186339,1.0110063669747373,1.0176218551293614,1.006543468340778,True,True,True
