implementation,avg_total_ms,batch_size,seq_len,dtype,device,model_path,state_dict_file,reps,warmup_reps
twell,478.56949359178543,64,2048,bf16,cuda,/workspace/run023-state/SparseLM0.5B-7c2a047,/workspace/run023-state/SparseLM0.5B-7c2a047/model.safetensors,50,5
torch,616.228035390377,64,2048,bf16,cuda,/workspace/run023-state/SparseLM0.5B-7c2a047,/workspace/run023-state/SparseLM0.5B-7c2a047/model.safetensors,50,5
