hardware_attempt,gpu,model_size,stratum,n_checkpoints,n_correctness_failures_excluded,intercept,slope_per_R_model_fraction,slope_per_10_percentage_points,pearson_r,R_squared,spearman_rho,R_model_min,R_model_max,method
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,14M,primary-qualified,11,1,0.9991959699766745,0.34701834951363986,0.03470183495136399,0.588891892729576,0.3467936613226221,0.5727272727272729,1.1415112639303073e-08,0.27482684296304843,descriptive unweighted OLS with intercept; one checkpoint median per row
h100nvl-002,NVIDIA H100 NVL,14M,primary-qualified,6,0,0.946420960794009,0.6493982000335377,0.06493982000335377,0.5662413852252371,0.32062930634179565,0.4285714285714286,1.1415112639303073e-08,0.27482684296304843,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,70M,primary-qualified,9,3,0.9599567462260125,0.03560164079475853,0.0035601640794758528,0.05222509193247889,0.0027274602273558157,0.4666666666666666,4.5409213981255505e-06,0.4060187215635989,descriptive unweighted OLS with intercept; one checkpoint median per row
h100nvl-002,NVIDIA H100 NVL,70M,primary-qualified,6,0,0.9501452471580006,0.10008087515250517,0.010008087515250518,0.22599943842165998,0.05107574616690558,0.4285714285714286,4.5409213981255505e-06,0.4060187215635989,descriptive unweighted OLS with intercept; one checkpoint median per row
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,410M,primary-qualified,12,0,0.9158294208522245,0.10490766973318018,0.010490766973318019,0.7973842977436139,0.6358217182880768,0.8671328671328673,0.00011047923803103942,0.806155139186339,descriptive unweighted OLS with intercept; one checkpoint median per row
h100nvl-002,NVIDIA H100 NVL,410M,primary-qualified,6,0,0.8798300284932193,0.07470725677012917,0.007470725677012917,0.8365872006559862,0.6998781443014184,0.8285714285714287,0.00011047923803103942,0.806155139186339,descriptive unweighted OLS with intercept; one checkpoint median per row
