condition_id,source_loss,dense_bf16_loss,sparse_bf16_loss,sparse_dense_abs_loss_delta,R_model,R_covered_linear,R_covered_linear_plus_attention,linear_primitive_count,linear_break_even_count,linear_pack_kernel_speedup_median,linear_pack_kernel_speedup_max,linear_kernel_only_speedup_max,attention_layer_count,attention_break_even_count,attention_speedup_median,attention_speedup_max,peak_allocated_bytes,peak_reserved_bytes,b1_native_median_ms,b1_sparse_median_ms,b1_paired_speedup,b1_speedup_p10,b1_speedup_p90,b1_robust_break_even,b32_native_median_ms,b32_sparse_median_ms,b32_paired_speedup,b32_speedup_p10,b32_speedup_p90,b32_robust_break_even
a0-gelu,4.5474416800504605,4.549697419948126,4.5498342849093785,0.0001368649612523143,0.000110479238031039,0.00011043142439167056,,24,0,0.005067962292957345,0.005305270754773951,0.005594756872929962,0,0,,,37985953792,39896219648,8.807661632696787,181.49389823277792,0.048527661874812174,0.0482836763466652,0.0519360934269745,False,275.6996676325798,1781.1929658055305,0.15461934478017925,0.14872124133920217,0.15670418669803676,False
a1h-relu,4.651271346052723,4.654892204075876,4.65485527564788,3.692842799551954e-05,0.210497252804411,0.21047513637939066,,24,0,0.04021087325985088,0.05354968552633918,0.05732712473127347,0,0,,,37985953792,39896219648,9.102560786737335,27.84043074482017,0.32750238311360985,0.3247023184107951,0.32898180922378195,False,258.82647931575775,540.9429743885994,0.4776290824028511,0.4771511129769995,0.4816300937528187,False
a4-ol1-kappa-0,5.692058805883283,5.698532813399501,5.698053812134195,0.0004790012653055342,0.383386733338568,0.3833867261992576,,96,0,0.020277118365661664,0.04430541432653704,0.04548018954024205,0,0,,,83806627840,85444263936,11.235424450465612,150.8500607950347,0.0744843695237148,0.07429123694236754,0.07560726868004854,False,304.0725812315941,2743.1392446160316,0.1107765909243972,0.10738398695666693,0.11329437695688455,False
a4-ol1-kappa-0p5,5.1911038336669195,5.195162158393296,5.194739886642208,0.00042227175108777715,0.715914446480748,0.7158302825811338,,96,0,0.07815506327772458,0.4785539290794727,0.7055267681975554,0,0,,,84411262976,85968551936,11.270100871721903,42.96684389313062,0.2622976195261976,0.26162914751097627,0.26284429381510294,False,269.41684260964394,538.0301550030708,0.49891103681412197,0.49617656719436004,0.5029830297472853,False
a7-ol1-kappa-0,5.426288082754824,5.430655353168059,5.429994268530219,0.0006610846378398705,0.411214678786846,0.4112136406614464,0.4112136467587682,96,0,0.023905042394159665,0.04951571581209353,0.05115922665473689,24,0,0.19778343001748094,0.2003342483764114,84109142016,86650126336,11.28592062741518,132.96273164451122,0.08487438216171253,0.08457664546082974,0.08545843010798178,False,299.7107356786728,2531.584680080414,0.11838858800060076,0.11493825202337302,0.12025404294815434,False
a7-ol1-kappa-0p5,5.120631906407825,5.124495139841497,5.124292784894006,0.0002023549474907682,0.806155139186339,0.6955162349121755,,96,0,0.08300827700634716,0.48099236712067395,0.7098517962222812,24,0,0.5636997680985467,0.6036371410826591,84108617728,85779808256,13.342082145668211,47.553494572639465,0.2805116958085585,0.27975648848532997,0.2808252695848825,False,301.715400069952,699.435543268919,0.43174173786283737,0.4265023108878882,0.432482194014017,False
