condition_id,layer,operation,site,K,M,N,exact_zero_mass,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a0-gelu,0,mlp_w2,h,4096,2048,1024,0.0,0.03707983220616976,0.045371552308400474,7.001002784818411,7.371039440234502,0.00530875384118307,0.005030649190973855,0.002173522807974243
a0-gelu,1,mlp_w2,h,4096,2048,1024,0.0005689859390258789,0.03673349108014788,0.04479213028537984,6.761098394588548,7.169730961322784,0.005417900289476617,0.005122329803455317,0.002201115189231904
a0-gelu,2,mlp_w2,h,4096,2048,1024,0.00019991397857666016,0.037014788510848065,0.0445302955958308,6.65286974031098,7.142347036575784,0.005580401634228713,0.005182373636719427,0.0023633090150637715
a0-gelu,3,mlp_w2,h,4096,2048,1024,0.00014400482177734375,0.03660090115605569,0.044942054213309775,6.854315041279306,7.178858834870008,0.005350300638787826,0.005099111555351677,0.002356984150598275
a0-gelu,4,mlp_w2,h,4096,2048,1024,3.838539123535156e-05,0.036602877840703846,0.044972008588362714,6.787981001698241,7.2154319103883235,0.005389749673156389,0.005073543352982718,0.0023816964637310978
a0-gelu,5,mlp_w2,h,4096,2048,1024,1.8835067749023438e-05,0.036587368468849024,0.04521377232609963,6.71442020304349,7.21226769442461,0.005429666037018408,0.005073611359214965,0.0023349466707582893
a0-gelu,6,mlp_w2,h,4096,2048,1024,1.7642974853515625e-05,0.036489598605097553,0.0446011521378342,6.949169751332731,7.234417358223273,0.005234093284506514,0.005043814539540485,0.002340132884727464
a0-gelu,7,mlp_w2,h,4096,2048,1024,9.894371032714844e-06,0.03703759641063457,0.04474970759177695,6.937986429856748,7.215312244940777,0.005351133068112646,0.005134083630441923,0.0023323561848794367
a0-gelu,8,mlp_w2,h,4096,2048,1024,0.00019621849060058594,0.036650958160559334,0.045426966001590095,6.7967614158988,7.212215568870306,0.005430302256322434,0.0050817684964142434,0.0023724285303166224
a0-gelu,9,mlp_w2,h,4096,2048,1024,4.291534423828125e-06,0.03668013960123062,0.04470751931269964,6.834239078064759,7.23819046591719,0.005369657670752965,0.005067664396021621,0.0023447300743200962
a0-gelu,10,mlp_w2,h,4096,2048,1024,5.7220458984375e-06,0.036454759538173676,0.044825952500104904,6.884182492891948,7.2771399281919,0.0052954377045951245,0.005009051506822841,0.0023430253782433957
a0-gelu,11,mlp_w2,h,4096,2048,1024,3.337860107421875e-06,0.03654851267735163,0.04486956944068273,6.8036930946012335,7.251753161350886,0.005371863805313774,0.005040975400116263,0.0023867616482944206
a0-gelu,12,mlp_w2,h,4096,2048,1024,1.1920928955078125e-07,0.03664816419283549,0.04502727339665095,6.923965488870938,7.34793705244859,0.005288819491191892,0.004987364185083463,0.0023661530658018425
a0-gelu,13,mlp_w2,h,4096,2048,1024,5.602836608886719e-06,0.03661199783285459,0.04463782534003258,6.873795452217261,7.241205622752507,0.005309884245595634,0.005055962496136558,0.0023549674586552604
a0-gelu,14,mlp_w2,h,4096,2048,1024,6.556510925292969e-06,0.0359630212187767,0.0448739156126976,6.921311374753714,7.267542493840058,0.005194652035216642,0.004947772480540289,0.002335614127877402
