condition_id,layer,q_exact_zero_mass,v_exact_zero_mass,composition_dense_median_ms,composition_sparse_median_ms,composition_paired_speedup,break_even
a7-ol1-kappa-0,0,0.00019073486328125,0.0,1.4576949971787474,7.37042598267819,0.19779353067738506,False
a7-ol1-kappa-0,1,0.00017547607421875,0.0,1.4608300601442654,7.385153944293658,0.19781412996443853,False
a7-ol1-kappa-0,2,0.0001373291015625,0.0,1.460339097927014,7.371456362307072,0.1980201576551109,False
a7-ol1-kappa-0,3,0.0001068115234375,0.0,1.4618470643957455,7.382463508596023,0.198002546611699,False
a7-ol1-kappa-0,4,7.62939453125e-05,0.0,1.457852777093649,7.37751725440224,0.19778545832777275,False
a7-ol1-kappa-0,5,0.00018310546875,0.0,1.461649313569069,7.379491347819567,0.19827047936392658,False
a7-ol1-kappa-0,6,9.918212890625e-05,0.0,1.4568388772507508,7.373664372911056,0.19765897403635965,False
a7-ol1-kappa-0,7,9.918212890625e-05,0.0,1.4641556578377883,7.38483527675271,0.19823608961457165,False
a7-ol1-kappa-0,8,0.00014495849609375,0.0,1.4575660849610965,7.367386327435573,0.1977814017071891,False
a7-ol1-kappa-0,9,0.00020599365234375,0.0,1.4596783245603244,7.387006500114997,0.19756049426247413,False
a7-ol1-kappa-0,10,0.0001220703125,0.0,1.4556899356345336,7.377810621013244,0.1975399645025848,False
a7-ol1-kappa-0,11,0.0001983642578125,0.0,1.4602507775028546,7.385743626703818,0.19776193119496538,False
a7-ol1-kappa-0,12,0.00012969970703125,0.0,1.4569602596263092,7.380349872012933,0.19753356452174137,False
a7-ol1-kappa-0,13,0.00017547607421875,0.0,1.4623937507470448,7.383043101678292,0.19807465981264794,False
a7-ol1-kappa-0,14,0.000244140625,0.0,1.4576638738314311,7.3791085742414,0.19750102281829843,False
a7-ol1-kappa-0,15,0.0001373291015625,0.0,1.461371158560117,7.384757045656443,0.19787736153483307,False
a7-ol1-kappa-0,16,0.00012969970703125,0.0,1.4563128352165222,7.380610331892967,0.19740846453282393,False
a7-ol1-kappa-0,17,0.00011444091796875,0.0,1.4625359722908506,7.385763557667428,0.19811033394337468,False
a7-ol1-kappa-0,18,0.0002288818359375,0.0,1.4807187179301649,7.393349041330054,0.2003342483764114,False
a7-ol1-kappa-0,19,0.00018310546875,0.0,1.46867831548055,7.386203855276108,0.1989604199063308,False
a7-ol1-kappa-0,20,0.00020599365234375,0.0,1.4557925363381703,7.375108078122139,0.19761169456299954,False
a7-ol1-kappa-0,21,0.0001220703125,0.0,1.458217700322469,7.375224493443966,0.19768506859660845,False
a7-ol1-kappa-0,22,7.62939453125e-05,0.0,1.4565701906879742,7.369404813895623,0.19764105147133212,False
a7-ol1-kappa-0,23,0.000213623046875,0.0,1.459293533116579,7.388052685807149,0.19753522941381335,False
a7-ol1-kappa-0p5,0,0.04034423828125,0.7533950805664062,1.4532553748442576,6.718281083382093,0.21630610271788636,False
a7-ol1-kappa-0p5,1,0.118896484375,0.6104888916015625,1.4470414473460271,6.716784233084092,0.21536654711033493,False
a7-ol1-kappa-0p5,2,0.7942581176757812,0.987701416015625,1.4544426657185696,3.4715483831887197,0.4188265736469694,False
a7-ol1-kappa-0p5,3,0.9999465942382812,0.9999618530273438,1.442348946713739,2.4156864835984178,0.5971140729640545,False
a7-ol1-kappa-0p5,4,0.9937286376953125,0.9995574951171875,1.4485926936856277,2.4992558810350705,0.5795816405628652,False
a7-ol1-kappa-0p5,5,0.9943695068359375,0.9982376098632812,1.443617045879364,2.6349709120415548,0.5478178956342283,False
a7-ol1-kappa-0p5,6,0.9998779296875,0.9999923706054688,1.4475444781369176,2.407094322401902,0.6010526078853208,False
a7-ol1-kappa-0p5,7,0.9999923706054688,1.0,1.445245126198078,2.393176740613477,0.6036371410826591,False
