implementation,avg_total_ms,batch_size,seq_len,dtype,device,model_path,state_dict_file,reps,warmup_reps
twell,288.18089567124844,64,2048,bf16,cuda,/workspace/sparsity-spillover/runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/artifacts/u0-h100-control-001/SparseLM0.5B,/workspace/sparsity-spillover/runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/artifacts/u0-h100-control-001/SparseLM0.5B/model.safetensors,50,5
torch,335.85710257291794,64,2048,bf16,cuda,/workspace/sparsity-spillover/runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/artifacts/u0-h100-control-001/SparseLM0.5B,/workspace/sparsity-spillover/runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/artifacts/u0-h100-control-001/SparseLM0.5B/model.safetensors,50,5
