condition_id,layer,q_exact_zero_mass,v_exact_zero_mass,qk_pack_kernel_speedup,pv_pack_kernel_speedup,composition_dense_median_ms,composition_sparse_median_ms,composition_paired_speedup,break_even,sparse_vs_dense_relative_l2
a7-ol1-kappa-0,0,0.00011444091796875,0.0,0.1339440334144077,0.032047581430345744,0.7416494983307859,3.7108420374545643,0.1998601640396197,False,5.781718827124082e-05
a7-ol1-kappa-0,1,0.0001373291015625,0.0,0.13118913213905115,0.03208451655073154,0.7408514143304622,3.70710255934837,0.19987163853658182,False,8.413097945645848e-05
a7-ol1-kappa-0,2,0.00012969970703125,0.0,0.12583366076004485,0.03179211388928674,0.7394412730602508,3.706167670006448,0.19946626704587558,False,8.146205214250879e-05
a7-ol1-kappa-0,3,0.00018310546875,0.0,0.13302384255197736,0.032027222400911375,0.737150140265201,3.699825165119577,0.1993487563282909,False,0.00016182492223529415
a7-ol1-kappa-0,4,0.0001220703125,0.0,0.130360729718471,0.03214264471926206,0.7405470501869282,3.7029118455470877,0.20009602597004694,False,8.340880299762355e-05
a7-ol1-kappa-0,5,0.0001678466796875,0.0,0.13078880877483826,0.03182210712639945,0.7402326198334389,3.6973737655801977,0.2001038762992255,False,0.000353732161038694
a7-ol1-kappa-0p5,0,0.20621490478515625,0.695098876953125,0.17188221922646238,0.05188818551010434,0.7414412995179495,2.866916668911775,0.25871506809667943,False,2.827987730380983e-05
a7-ol1-kappa-0p5,1,0.495086669921875,0.8753662109375,0.24324410679793876,0.05231682210047484,0.742340087890625,2.4750969239643643,0.30002796222842415,False,0.00010155628371709826
a7-ol1-kappa-0p5,2,0.9615631103515625,0.9301834106445312,0.6166783907664873,0.06627271340156655,0.7409893528178886,2.1230760087937486,0.3490168744541985,False,5.460211705254887e-05
a7-ol1-kappa-0p5,3,0.7931900024414062,0.9198226928710938,0.396773725299164,0.07315319820145746,0.7421361319970765,2.3310560508062377,0.3182847340088589,False,2.2511256523641835e-05
a7-ol1-kappa-0p5,4,0.7298355102539062,0.8975143432617188,0.35091053607565276,0.09746408406467813,0.7415552667918659,2.053458332305863,0.36117425813558135,False,5.516775695437878e-06
a7-ol1-kappa-0p5,5,0.9686355590820312,0.9706268310546875,0.6284561616639869,0.08470895762809286,0.741632816232281,2.1245175581655387,0.34912614014086646,False,0.00018059851821781265
