condition_id,layer,operation,site,M,K,N,exact_zero_mass,maximum_row_nnz,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a0-gelu,0,mlp_w2,h,2048,2048,512,0.0,2048,0.012226329234085585,0.01271358250003112,1.0869977260498624,1.1272099800407887,0.011248272801928857,0.010846540973353668,0.0023093749079092256
a0-gelu,1,mlp_w2,h,2048,2048,512,2.1457672119140625e-06,2048,0.012196285964606644,0.012733743755848377,1.0889409134140262,1.1016378155002347,0.011198544547182821,0.01106337286141821,0.002366218577206892
a0-gelu,2,mlp_w2,h,2048,2048,512,1.9073486328125e-06,2048,0.012205512385659662,0.012752303548181172,1.089713317596644,1.1015092876179808,0.01120404658902767,0.011091814839391739,0.0023640505914234856
a0-gelu,3,mlp_w2,h,2048,2048,512,1.3589859008789062e-05,2048,0.012178200121504812,0.012674104100979936,1.0864131938154324,1.1016271841792633,0.011200439323575853,0.011050388443375171,0.00235322097268982
a0-gelu,4,mlp_w2,h,2048,2048,512,0.0,2048,0.01213416105970389,0.012731486900085551,1.0879726622642492,1.1548284278172836,0.011173297661939533,0.010511798086200785,0.0023168087780731867
a0-gelu,5,mlp_w2,h,2048,2048,512,8.96453857421875e-05,2048,0.012182716339353531,0.012736046125018408,1.0737630109938363,1.0900030769999065,0.011345814872201314,0.01117966658040287,0.0025191235435058157
a1h-relu,0,mlp_w2,h,2048,2048,512,0.7225708961486816,1349,0.011247124706135422,0.013045187978470912,0.5984534738493748,0.6138726183381237,0.018797686765147446,0.018317238922297883,0.0024149162256872077
a1h-relu,1,mlp_w2,h,2048,2048,512,0.9363498687744141,333,0.010803786447509326,0.012749744724834897,0.15428254127870372,0.16786482706359385,0.06996800196704596,0.0643887309583255,0.0023050191911150124
a1h-relu,2,mlp_w2,h,2048,2048,512,0.894547700881958,319,0.010826818875430785,0.012834185791998794,0.147461829726229,0.16204520829559602,0.0733814967961633,0.0668446173232561,0.002307573845817275
a1h-relu,3,mlp_w2,h,2048,2048,512,0.9004409313201904,381,0.011060593012952499,0.012837940513497532,0.17810739624548874,0.19195573008470085,0.06211377062842869,0.05759617199812888,0.0023459742137767257
a1h-relu,4,mlp_w2,h,2048,2048,512,0.834418773651123,584,0.010992969574998984,0.012994665634101855,0.25470166956573187,0.2705561736663052,0.04316108190767835,0.04045882759111156,0.002336336828695234
a1h-relu,5,mlp_w2,h,2048,2048,512,0.6862866878509521,920,0.011247808412480274,0.013109232988780676,0.3697596685335769,0.3830265249544172,0.030446495689687245,0.029335803757184326,0.0026407858210324444
a4-ol1-kappa-0,0,qkv_projection,a,2048,512,1536,0.4814186096191406,370,0.01074084123537313,0.005452929874191014,0.46670260467293406,0.47159100168585355,0.023028731189309478,0.02276131463585905,0.0021590411605644988
a4-ol1-kappa-0,0,mlp_w1,m,2048,512,2048,0.5036811828613281,346,0.015831436214477152,0.006905887835022021,0.30810647242442124,0.3189204428433242,0.05041488814601967,0.04994172994377024,0.002318485100880463
a4-ol1-kappa-0,0,mlp_w2,h,2048,2048,512,0.9319970607757568,267,0.010856151008557767,0.012919950539442913,0.11446388337635043,0.127089458803386,0.09468855339166275,0.08522612694023912,0.0025266876597694484
a4-ol1-kappa-0,0,attention_output_projection,z,2048,512,512,0.7745275497436523,148,0.010103317936496622,0.005173716061648098,0.06137222634915824,0.06657270447579525,0.1649801117093464,0.15178254201793365,0.002562293642395293
